question,category,relevance,faithfulness,fluency
Quali sono le modalità di gioco disponibili in Maniac Mansion?,General Knowledge,0.9,0.9,1.0
In che anno è stato rilasciato Maniac Mansion?,Fine-grained Factual,0.9,1.0,1.0
Chi ha sviluppato Maniac Mansion e per quali piattaforme?,Relation-centric,0.9,0.8,1.0
Maniac Mansion è stato il primo gioco a usare il motore SCUMM sviluppato dalla Sierra On-Line?,Adversarial,0.9,0.8,0.9
"Qual era lo scopo dell'evacuazione dell'Arsenale di Little Rock, considerando il contesto storico?",Adversarial,0.8,0.6,0.9
Perché il 422nd viene utilizzato per missioni che potrebbero far perdere la faccia a Gallia?,General Knowledge,0.9,0.8,0.9
Chi ha diretto Valkyria Chronicles II e ha lavorato anche a questo gioco?,Relation-centric,0.6,0.8,0.9
Dove era originariamente ubicato il Little Rock Children's Museum prima della fusione?,Fine-grained Factual,0.2,1.0,0.9
Qual è la relazione tra il gioco Valkyria: Azure Revolution e la serie Valkyria?,Relation-centric,0.9,1.0,0.9
Come sono stati descritti i difficoltà di gioco in Valkyria Chronicles rispetto ai giochi precedenti?,Relation-centric,0.4,0.8,0.9
Qual è il nome del sito web di gaming giapponese che ha recensito positivamente la storia e i personaggi di Valkyria Chronicles III?,Fine-grained Factual,0.8,0.9,0.9
"Perché Kurt decide di far credere che il suo squadra, il 422nd, sia stato ucciso in azione?",Adversarial,0.9,0.9,0.9
In che anno il Museum of Science and Natural History si fuse con il Little Rock Children's Museum?,General Knowledge,0.8,1.0,0.9
Qual è il rapporto tra Riela Marcellis e i Valkyria?,Relation-centric,0.4,0.6,0.8
Perché il Little Rock Æsthetic Club aveva bisogno di nuovi locali?,Fine-grained Factual,0.2,0.8,0.9
Perché Lt. Dunnington non fu licenziato dal Confederate Navy Department quando fu assegnato all'ordnance di Little Rock?,Adversarial,0.6,0.9,0.8
Cosa succede ai punti esperienza quando si vince una battaglia?,Relation-centric,0.2,0.1,0.8
È vero che nel mese di agosto 1862 non sono state eseguite attività di guardia e polizia?,Adversarial,0.9,1.0,1.0
Perché i cittadini dello Stato vogliono il controllo dell'Arsenale?,General Knowledge,0.9,0.8,0.9
In quale paese il gioco ha avuto vendite positive?,General Knowledge,1.0,1.0,1.0
Chi non ha lavorato alla sceneggiatura del gioco?,Adversarial,0.6,0.9,0.8
Qual è la differenza principale nel sistema di distribuzione dei punti esperienza rispetto ai giochi precedenti?,Adversarial,0.2,0.1,0.8
Quale delle seguenti affermazioni è falsa riguardo alle vendite di Valkyria Chronicles III in Giappone?,Adversarial,0.6,0.9,0.8
Qual è il principale punto di critica di Naohiko Misuosame nei confronti del gioco Valkyria Chronicles III?,Adversarial,0.2,1.0,0.9
Dove fu stabilita un'altra armeria da Hindman?,Fine-grained Factual,0.2,1.0,0.9
Chi sostituì Lt. Col. Dunnington come comandante dell'Arsenale di Little Rock?,Relation-centric,0.2,1.0,0.9
Qual è il titolo di un libro cristiano scritto da Barker in collaborazione con sua sorella Dorothy?,Fine-grained Factual,0.2,1.0,0.9
"Qual era la situazione lavorativa all'arsenale di Little Rock quando Lt. Col. Dunnington assunse il comando, secondo il testo?",Adversarial,0.8,0.9,0.9
Qual è il rapporto tra la patch di traduzione e l'edizione Extra di Valkyria Chronicles III?,Relation-centric,0.9,0.9,1.0
Qual era il ruolo del padre di Douglas MacArthur quando era di stanza nel building?,Relation-centric,0.9,1.0,1.0
"Qual è l'obiettivo principale del MacArthur Museum of Arkansas Military History, escludendo l'educazione e l'informazione dei visitatori?",Adversarial,0.9,0.9,1.0
"Qual è la motivazione che ha portato il governatore Rector a negare di aver ordinato l'assemblaggio delle truppe, nonostante le unità di milizia fossero già state radunate?",Adversarial,0.6,0.8,0.9
Qual è il giudizio generale di Game Watch Impress sul gioco Valkyria Chronicles III?,General Knowledge,0.2,1.0,0.9
Qual era il rapporto tra il capitano Totten e il governatore in relazione alla resa dell'arsenale?,Relation-centric,0.9,0.9,1.0
Quali tipi di armi da fuoco sono state riparate durante il mese di agosto 1862?,Relation-centric,0.8,0.9,0.9
